S001 | Room 1 | A | 50000 | 1 | 2 | 3 | 4
S001 | Room 1 | B | 50000 | 1 | 2
S001 | Room 1 | C | 50000 | 5 | 1 | 9 | 3 | 10
S001 | Room 1 | D | 80000 | 1 | 2 | 6
S001 | Room 1 | E | 80000 | 10 | 6 | 1 | 3 | 2
S002 | Room 1 | A | 50000 | 1 | 2
S002 | Room 1 | B | 50000 | 1 | 2
S002 | Room 1 | C | 50000 | 6
S002 | Room 1 | D | 80000 | 6
S002 | Room 1 | E | 80000 | 10 | 1
S002 | Room 5 | A | 50000
S002 | Room 5 | B | 50000
S002 | Room 5 | C | 50000
S002 | Room 5 | D | 80000
S002 | Room 5 | E | 80000
S003 | Room 1 | A | 50000
S003 | Room 1 | B | 50000
S003 | Room 1 | C | 50000
S003 | Room 1 | D | 80000
S003 | Room 1 | E | 80000
S004 | Room 2 | A | 50000
S004 | Room 2 | B | 50000
S004 | Room 2 | C | 50000
S004 | Room 2 | D | 80000
S004 | Room 2 | E | 80000
S005 | Room 5 | A | 50000
S005 | Room 5 | B | 50000
S005 | Room 5 | C | 50000
S005 | Room 5 | D | 80000
S005 | Room 5 | E | 80000
S006 | Room 5 | A | 50000
S006 | Room 5 | B | 50000
S006 | Room 5 | C | 50000
S006 | Room 5 | D | 80000
S006 | Room 5 | E | 80000
S007 | Room 4 | A | 50000
S007 | Room 4 | B | 50000
S007 | Room 4 | C | 50000
S007 | Room 4 | D | 80000
S007 | Room 4 | E | 80000
S008 | Room 4 | A | 50000
S008 | Room 4 | B | 50000
S008 | Room 4 | C | 50000
S008 | Room 4 | D | 80000
S008 | Room 4 | E | 80000
S009 | Room 3 | A | 50000
S009 | Room 3 | B | 50000
S009 | Room 3 | C | 50000
S009 | Room 3 | D | 80000
S009 | Room 3 | E | 80000
S010 | Room 3 | A | 50000
S010 | Room 3 | B | 50000
S010 | Room 3 | C | 50000
S010 | Room 3 | D | 80000
S010 | Room 3 | E | 80000
S011 | Room 2 | A | 50000
S011 | Room 2 | B | 50000
S011 | Room 2 | C | 50000
S011 | Room 2 | D | 80000
S011 | Room 2 | E | 80000
S012 | Room 5 | A | 50000
S012 | Room 5 | B | 50000
S012 | Room 5 | C | 50000
S012 | Room 5 | D | 80000
S012 | Room 5 | E | 80000
S013 | Room 4 | A | 50000
S013 | Room 4 | B | 50000
S013 | Room 4 | C | 50000
S013 | Room 4 | D | 80000
S013 | Room 4 | E | 80000
S014 | Room 1 | A | 50000
S014 | Room 1 | B | 50000
S014 | Room 1 | C | 50000
S014 | Room 1 | D | 80000
S014 | Room 1 | E | 80000
